math,science,logical,creative,tech,business,career
53,54,9,7,4,6,Lawyer
81,59,7,3,7,5,Data Analyst
86,65,7,9,3,4,Architect
68,84,6,6,6,2,Biomedical Researcher
88,50,6,9,6,5,Architect
78,55,9,9,5,4,Architect
76,91,6,4,7,2,Biomedical Researcher
73,96,7,4,5,3,Doctor
95,83,8,4,8,3,AI Engineer
80,73,7,9,5,4,Architect
84,81,10,2,10,2,AI Engineer
77,66,6,9,5,5,Architect
84,68,9,3,5,10,Finance Analyst
63,43,4,7,4,9,Marketing Manager
75,76,8,4,8,5,Data Analyst
76,69,7,3,8,5,Data Analyst
76,70,8,3,10,3,Cybersecurity Analyst
77,73,7,4,8,4,Software Engineer
87,96,6,5,4,3,Doctor
64,49,9,6,3,7,Lawyer
77,77,9,3,9,2,Cybersecurity Analyst
89,92,8,4,4,3,Doctor
64,68,5,7,4,3,Teacher
89,54,8,3,6,10,Finance Analyst
66,63,6,8,4,4,Teacher
87,83,9,5,10,3,AI Engineer
35,39,5,10,6,7,Content Creator
79,92,8,7,5,3,Biomedical Researcher
75,57,7,8,5,9,Product Manager
87,86,9,4,9,5,AI Engineer
76,75,7,3,9,2,Cybersecurity Analyst
65,95,6,4,5,3,Biomedical Researcher
46,41,6,7,4,10,Marketing Manager
78,89,8,6,5,1,Biomedical Researcher
82,57,8,4,6,10,Finance Analyst
61,49,6,9,7,6,UI/UX Designer
66,64,7,5,3,8,Civil Services
79,68,6,9,4,4,Architect
87,55,8,3,3,10,Finance Analyst
66,74,7,4,7,5,Data Analyst
91,87,10,3,10,2,AI Engineer
59,73,6,7,1,4,Teacher
74,63,10,4,8,7,Data Analyst
54,48,4,8,5,9,Marketing Manager
71,70,8,5,3,8,Civil Services
72,56,6,7,6,9,Product Manager
51,56,7,7,4,10,Marketing Manager
73,97,8,6,4,1,Biomedical Researcher
90,87,9,5,9,3,AI Engineer
69,65,8,7,2,9,Civil Services
67,69,8,5,2,8,Civil Services
83,68,7,6,10,4,Software Engineer
56,67,7,8,4,5,Psychologist
81,69,8,4,9,2,Software Engineer
83,90,8,6,5,2,Biomedical Researcher
91,93,7,5,3,2,Doctor
53,40,5,9,6,7,Content Creator
84,99,8,5,5,4,Doctor
44,41,5,9,7,8,Content Creator
74,70,7,4,7,5,Data Analyst
58,52,6,8,3,4,Psychologist
77,73,10,2,10,3,Cybersecurity Analyst
68,67,8,7,3,9,Civil Services
82,57,8,4,5,10,Finance Analyst
63,71,6,10,3,5,Teacher
64,56,8,6,4,7,Lawyer
82,93,7,5,4,3,Biomedical Researcher
64,65,9,5,3,9,Civil Services
88,75,9,3,10,3,AI Engineer
55,62,5,7,3,7,Psychologist
48,61,5,7,3,6,Psychologist
56,57,6,10,7,6,UI/UX Designer
58,67,6,8,4,6,Psychologist
82,58,8,3,6,9,Finance Analyst
67,60,4,8,5,8,Product Manager
72,73,7,3,8,7,Data Analyst
66,68,7,6,4,8,Civil Services
52,50,6,6,6,9,Product Manager
62,61,7,5,8,6,Data Analyst
53,43,10,7,1,7,Lawyer
85,86,10,3,10,3,AI Engineer
57,57,5,6,6,9,Product Manager
54,61,6,8,2,5,Psychologist
69,65,7,7,2,8,Civil Services
94,93,9,4,4,3,Doctor
54,67,6,8,3,6,Psychologist
53,61,9,7,3,6,Lawyer
56,53,4,10,7,4,UI/UX Designer
70,68,7,3,7,5,Data Analyst
81,98,8,4,4,2,Doctor
60,67,8,7,3,8,Civil Services
84,97,8,5,5,3,Doctor
82,66,8,4,9,4,Software Engineer
75,68,7,4,7,6,Data Analyst
62,72,5,8,4,5,Teacher
54,45,8,7,2,8,Lawyer
73,69,8,3,9,3,Cybersecurity Analyst
54,41,4,10,5,6,Content Creator
66,70,8,5,2,8,Civil Services
62,58,6,8,4,5,Teacher
73,100,7,6,5,2,Biomedical Researcher
71,89,5,5,4,3,Biomedical Researcher
60,51,6,10,5,5,UI/UX Designer
91,62,7,9,5,4,Architect
81,83,10,6,9,5,Software Engineer
79,97,8,5,4,3,Biomedical Researcher
51,41,6,8,4,9,Marketing Manager
75,70,8,3,9,6,Data Analyst
50,59,4,7,2,9,Marketing Manager
61,46,6,5,5,10,Marketing Manager
64,58,7,7,5,9,Product Manager
55,61,6,9,3,4,Psychologist
84,70,9,3,5,9,Finance Analyst
61,44,10,7,3,8,Lawyer
57,53,6,7,7,9,Product Manager
41,38,5,10,5,5,UI/UX Designer
76,59,7,5,5,10,Finance Analyst
71,100,6,6,6,3,Biomedical Researcher
71,66,7,5,7,7,Data Analyst
61,67,7,6,2,7,Civil Services
55,42,9,7,4,7,Lawyer
77,65,8,4,6,9,Finance Analyst
89,48,7,5,6,10,Finance Analyst
60,47,5,10,6,4,UI/UX Designer
47,44,5,9,7,5,UI/UX Designer
72,67,8,5,3,8,Civil Services
51,52,6,10,6,6,UI/UX Designer
75,89,7,5,8,2,Biomedical Researcher
54,44,3,10,9,7,Content Creator
74,74,7,3,7,6,Data Analyst
59,72,7,7,3,5,Teacher
54,53,10,7,2,7,Lawyer
82,80,10,3,9,2,Cybersecurity Analyst
60,56,3,7,4,10,Marketing Manager
60,51,6,8,5,9,Product Manager
46,33,5,9,6,7,Content Creator
56,68,5,9,4,4,Teacher
59,70,6,8,5,5,Teacher
82,97,9,4,4,3,Doctor
78,65,10,6,2,7,Civil Services
87,66,8,10,4,5,Architect
73,68,8,3,6,5,Data Analyst
80,97,8,3,3,4,Doctor
65,58,7,6,6,9,Product Manager
70,71,9,6,3,8,Civil Services
60,49,7,8,4,10,Marketing Manager
78,69,9,2,9,2,Cybersecurity Analyst
82,59,7,9,4,4,Architect
77,88,7,4,9,3,Software Engineer
92,83,9,4,9,2,AI Engineer
85,97,8,4,4,4,Doctor
79,86,7,5,4,3,Biomedical Researcher
44,46,5,7,2,10,Marketing Manager
43,36,2,9,6,7,Content Creator
79,69,7,4,8,5,Data Analyst
87,79,9,5,8,3,Software Engineer
49,48,4,7,4,10,Marketing Manager
82,97,8,4,7,3,Doctor
44,45,5,6,5,10,Marketing Manager
75,95,7,5,3,3,Doctor
83,76,9,3,10,5,Cybersecurity Analyst
61,54,6,7,7,9,Product Manager
88,96,9,3,10,4,AI Engineer
45,48,5,9,6,7,Content Creator
51,70,5,8,2,3,Teacher
65,65,6,10,2,5,Psychologist
75,93,8,5,5,3,Doctor
49,42,6,9,5,6,Content Creator
85,69,7,3,9,3,Software Engineer
61,55,10,7,2,6,Lawyer
91,52,9,4,4,9,Finance Analyst
72,74,10,2,9,3,Cybersecurity Analyst
60,76,5,9,4,5,Teacher
54,49,9,7,2,8,Lawyer
48,51,5,9,7,4,UI/UX Designer
83,67,6,9,5,2,Architect
65,52,7,7,7,10,Product Manager
86,73,7,9,5,4,Architect
71,64,5,7,5,9,Product Manager
82,92,7,4,5,4,Doctor
69,57,7,9,6,3,Architect
62,59,6,7,5,9,Product Manager
52,57,9,8,1,8,Lawyer
54,30,3,9,4,8,Content Creator
68,48,7,6,6,9,Product Manager
81,73,10,4,8,4,Cybersecurity Analyst
61,72,6,7,3,3,Teacher
92,98,7,5,5,3,Doctor
43,36,3,9,6,7,Content Creator
43,43,5,10,4,7,Content Creator
63,53,5,8,5,9,Marketing Manager
75,79,8,3,10,5,Data Analyst
55,63,5,8,4,6,Psychologist
83,65,9,4,8,3,Software Engineer
79,86,9,5,10,2,AI Engineer
57,58,5,10,6,5,UI/UX Designer
75,60,9,3,6,9,Finance Analyst
68,60,7,7,3,10,Product Manager
78,70,8,3,9,2,Cybersecurity Analyst
75,53,7,5,3,8,Civil Services
63,48,10,9,3,5,Lawyer
50,57,5,8,2,10,Marketing Manager
87,73,9,4,9,3,Software Engineer
76,85,10,4,9,3,Cybersecurity Analyst
49,41,6,9,5,6,UI/UX Designer
84,70,8,3,10,3,Software Engineer
56,62,6,7,5,5,Psychologist
79,63,7,8,3,5,Architect
90,64,7,3,5,10,Finance Analyst
81,88,9,4,10,3,AI Engineer
64,47,9,8,2,7,Lawyer
82,81,9,3,9,4,AI Engineer
66,79,8,5,8,6,Data Analyst
71,76,8,5,10,4,Software Engineer
78,71,9,3,9,3,Cybersecurity Analyst
58,44,10,6,2,7,Lawyer
30,48,5,10,7,8,Content Creator
69,76,9,5,7,5,Data Analyst
51,46,3,10,8,6,UI/UX Designer
32,37,3,9,7,7,Content Creator
66,93,5,5,5,3,Biomedical Researcher
82,73,8,4,8,3,Software Engineer
53,51,4,8,5,10,Marketing Manager
52,33,4,9,7,7,Content Creator
54,38,9,7,2,8,Lawyer
59,68,6,7,3,5,Teacher
43,46,6,9,6,6,UI/UX Designer
81,90,9,4,9,3,AI Engineer
84,90,8,4,3,3,Doctor
53,51,6,10,5,4,UI/UX Designer
62,72,5,8,2,5,Teacher
80,66,6,6,8,4,Software Engineer
